o:id,o:resource_class,schema:sameAs,jdc:valeurUtilite,jdc:hasRencontre,dcterms:title,foaf:firstName,foaf:lastName,foaf:givenName,foaf:homepage,schema:relatedLink
62204,foaf:Person,,,,Conseil national du numérique (CNN),Conseil national du numérique,(CNN),Conseil national du numérique (CNN),,
62274,foaf:Person,,,,Andrew Abbott,Andrew,Abbott,Andrew Abbott,,
61797,foaf:Person,,,,Robert P. Abelson,Robert P.,Abelson,Robert P. Abelson,,
62206,foaf:Person,,,,Omar Abou Khaled,Omar,Abou Khaled,Omar Abou Khaled,,
299965,foaf:Person,,10,20,Safia Abouad,Safia,Abouad,Safia Abouad,,
62210,foaf:Person,,,,Géraldine Abrami,Géraldine,Abrami,Géraldine Abrami,,
62387,foaf:Person,,,,B. Thomas Adler,B. Thomas,Adler,B. Thomas Adler,,
62151,foaf:Person,,,,Hicham-Stéphane Afeissa,Hicham-Stéphane,Afeissa,Hicham-Stéphane Afeissa,,
62779,foaf:Person,,,,Zoubida Afoutni,Zoubida,Afoutni,Zoubida Afoutni,,
61734,foaf:Person,,,,Franck Aggeri,Franck,Aggeri,Franck Aggeri,,
61576,foaf:Person,,,,M. Agrawala,M.,Agrawala,M. Agrawala,,
62601,foaf:Person,,,,Frédérique Aït-Touati,Frédérique,Aït-Touati,Frédérique Aït-Touati,,
61209,foaf:Person,,,,Omraam Mikhael Aïvanhov,Omraam Mikhael,Aïvanhov,Omraam Mikhael Aïvanhov,,
62615,foaf:Person,,,,Madeleine Akrich,Madeleine,Akrich,Madeleine Akrich,,
61240,foaf:Person,,,,Séraphin Alava,Séraphin,Alava,Séraphin Alava,,
299915,foaf:Person,,,,Mahault Albarracin,Mahault,Albarracin,Mahault Albarracin,,
61631,foaf:Person,,,,Brigitte Albero,Brigitte,Albero,Brigitte Albero,,
62148,foaf:Person,,,,Jean-Pierre Albert,Jean-Pierre,Albert,Jean-Pierre Albert,,
61911,foaf:Person,,,,Vassil Alexandrov,Vassil,Alexandrov,Vassil Alexandrov,,
62101,foaf:Person,,,,Ekaterina Alexeeva,Ekaterina,Alexeeva,Ekaterina Alexeeva,,
62445,foaf:Person,,,,Romain Allais,Romain,Allais,Romain Allais,,
62394,foaf:Person,,,,Dean Allemang,Dean,Allemang,Dean Allemang,,
61507,foaf:Person,,,,Eric Alliez,Eric,Alliez,Eric Alliez,,
62340,foaf:Person,,3,10,Camille Alloing,Camille,Alloing,Camille Alloing,,
62415,foaf:Person,,,,Olivier Alphand,Olivier,Alphand,Olivier Alphand,,
62576,foaf:Person,,,,Julian Alvarez,Julian,Alvarez,Julian Alvarez,,
61336,foaf:Person,,,,Francisco Alvarez-Cavazos,Francisco,Alvarez-Cavazos,Francisco Alvarez-Cavazos,,
62211,foaf:Person,,,,Marion Amalric,Marion,Amalric,Marion Amalric,,
61355,foaf:Person,,,,Pierre-Henri Amalric,Pierre-Henri,Amalric,Pierre-Henri Amalric,,
61531,foaf:Person,,,,Florence Amardeilh,Florence,Amardeilh,Florence Amardeilh,,
62732,foaf:Person,61218,3,30,Armand Etienne Amato,Armand Etienne,Amato,Armand Etienne Amato,,
61218,foaf:Person,,3,30,Étienne Armand Amato,Étienne Armand,Amato,Étienne Armand Amato,,
61071,foaf:Person,,,,Frédéric Amblard,Frédéric,Amblard,Frédéric Amblard,,
61264,foaf:Person,,,,Philippe Henri Louis Amiel,Philippe Henri Louis,Amiel,Philippe Henri Louis Amiel,,
62462,foaf:Person,,20,60,Mehdi Ammi,Mehdi,Ammi,Mehdi Ammi,,
62416,foaf:Person,,,,Michele Amoretti,Michele,Amoretti,Michele Amoretti,,
62146,foaf:Person,,,,Mathieu Amy,Mathieu,Amy,Mathieu Amy,,
62614,foaf:Person,,,,B. Ancori,B.,Ancori,B. Ancori,,
62656,foaf:Person,,,,María Andérez Valdavida,María,Andérez Valdavida,María Andérez Valdavida,,
61754,foaf:Person,,,,Günther Anders,Günther,Anders,Günther Anders,,
61927,foaf:Person,,,,Lise Andries,Lise,Andries,Lise Andries,,
62070,foaf:Person,,20,60,Mathieu Andro,Mathieu,Andro,Mathieu Andro,,
299969,foaf:Person,,,,Tiffany Andry,Tiffany,Andry,Tiffany Andry,,
62205,foaf:Person,,,,Leonardo Angelini,Leonardo,Angelini,Leonardo Angelini,,
62098,foaf:Person,,,,Rossana De Angelis,Rossana De,Angelis,Rossana De Angelis,,
61922,foaf:Person,,,,Anila Angjeli,Anila,Angjeli,Anila Angjeli,,
62212,foaf:Person,,,,Brice Anselme,Brice,Anselme,Brice Anselme,,
299940,foaf:Person,,20,,Masure Anthony,Masure,Anthony,Masure Anthony,,
61721,foaf:Person,,,,Marcel Antoine,Marcel,Antoine,Marcel Antoine,,
62713,foaf:Person,,30,,San Antonio,San,Antonio,San- Antonio,,
62368,foaf:Person,,,,Grigoris Antoniou,Grigoris,Antoniou,Grigoris Antoniou,,
61861,foaf:Person,,,,Pascale Aoudé,Pascale,Aoudé,Pascale Aoudé,,
61952,foaf:Person,,,,Améziane Aoussat,Améziane,Aoussat,Améziane Aoussat,,
61701,foaf:Person,,,,Leo Apostel,Leo,Apostel,Leo Apostel,,
62607,foaf:Person,,,,Charles Appuhn,Charles,Appuhn,Charles Appuhn,,
62519,foaf:Person,,,,Sinan Aral,Sinan,Aral,Sinan Aral,,
62290,foaf:Person,,,,Claudio A. Ardagna,Claudio A.,Ardagna,Claudio A. Ardagna,,
62602,foaf:Person,,,,Alexandra Arènes,Alexandra,Arènes,Alexandra Arènes,,
61895,foaf:Person,,,,Michel Arnaud,Michel,Arnaud,Michel Arnaud,,
62632,foaf:Person,,,,Francis Arnion,Francis,Arnion,Francis Arnion,,
62367,foaf:Person,62399,,,Lora Aroyo,Lora,Aroyo,Lora Aroyo,,
62399,foaf:Person,,,,Lora M. Aroyo,Lora M.,Aroyo,Lora M. Aroyo,,
61948,foaf:Person,,3,30,Béa Arruabarrena,Béa,Arruabarrena,Béa Arruabarrena,,
61752,foaf:Person,,,,Naveen Ashish,Naveen,Ashish,Naveen Ashish,,
61723,foaf:Person,,,,Sophie Aslanidou,Sophie,Aslanidou,Sophie Aslanidou,,
62118,foaf:Person,,,,Christophe Assens,Christophe,Assens,Christophe Assens,,
61135,foaf:Person,,,,Jean-Pierre Astolfi,Jean-Pierre,Astolfi,Jean-Pierre Astolfi,,
61593,foaf:Person,,,,Henri Atlan,Henri,Atlan,Henri Atlan,,
62069,foaf:Person,,,,Amélie Audiberti,Amélie,Audiberti,Amélie Audiberti,,
62400,foaf:Person,,,,Sören Auer,Sören,Auer,Sören Auer,,
62704,foaf:Person,,,,Marie Augendre,Marie,Augendre,Marie Augendre,,
61315,foaf:Person,,,,Marc Augier,Marc,Augier,Marc Augier,,
61975,foaf:Person,,,,Michel Authier,Michel,Authier,Michel Authier,,
62159,foaf:Person,,,,Philippe Averlant,Philippe,Averlant,Philippe Averlant,,
61277,foaf:Person,,,,Magda Azzu,Magda,Azzu,Magda Azzu,,
61387,foaf:Person,,,,Igor Babou,Igor,Babou,Igor Babou,,
61098,foaf:Person,,50,,Gaston Bachelard,Gaston,Bachelard,Gaston Bachelard,,
61303,foaf:Person,,60,20,Bruno Bachimont,Bruno,Bachimont,Bruno Bachimont,,
61166,foaf:Person,,40,,Alain Badiou,Alain,Badiou,Alain Badiou,,
62554,foaf:Person,,,,Romain Badouard,Romain,Badouard,Romain Badouard,,
62680,foaf:Person,,,,Kenneth J. Bagstad,Kenneth J.,Bagstad,Kenneth J. Bagstad,,
62547,foaf:Person,,,,Normand Baillargeon,Normand,Baillargeon,Normand Baillargeon,,
61444,foaf:Person,,,,Francis Bailly,Francis,Bailly,Francis Bailly,,
61526,foaf:Person,,,,David Bainbridge,David,Bainbridge,David Bainbridge,,
62757,foaf:Person,,,,Flavien Balbo,Flavien,Balbo,Flavien Balbo,,
61435,foaf:Person,,,,Andrea Baldassarri,Andrea,Baldassarri,Andrea Baldassarri,,
61320,foaf:Person,,,,Ivana Ballarini-Santonocito,Ivana,Ballarini-Santonocito,Ivana Ballarini-Santonocito,,
62094,foaf:Person,,,,Laurent Balon,Laurent,Balon,Laurent Balon,,
