o:id,dcterms:title,skos:prefLabel,skos:altLabel,jdc:hasActant,jdc:hasConcept,jdc:hasCrible,action
70394,question,question,,,,,
70395,algorithme,algorithme,,,,,
70399,documentation,documentation,,,,,
70403,mécanologie,mécanologie,,,70411,,remplace
70407,algorithme littératie,algorithme littératie,,,,,
70411,littératie algorithmique,littératie algorithmique,,,,,
70415,rétro-ingénierie,rétro-ingénierie,,,,,
70419,"Cage, John, 1912-1992","Cage, John, 1912-1992",,,80432,,remplace
70423,Compositeurs -- Biographies,Compositeurs -- Biographies,,,Compositeurs ; biographies,,explode
70427,action située,action située,,,,,
70434,citation,citation,,,,,
70438,modèle,modèle,,,,,
70442,fonctionnement,fonctionnement,,,,,
70446,invariants de l’action,invariants de l’action,,,,,
70450,activité,activité,,,,,
70454,développement,développement,,,,,
70458,indexicalité,indexicalité,,,,,
70462,pragmatisme,pragmatisme,,,,,
70466,affordance,affordance,,,,,
70470,situation,situation,,,,,
70474,expérience,expérience,,,,,
70538,thésaurus,thésaurus,,,,,
70542,gouvernement,gouvernement,,,,,
70546,lire,lire,,,,,
70553,art,art,,,,,
70572,islam,islam,,,,,
70576,talismans,talismans,,,,,
70580,Soufisme,Soufisme,,,,,
70584,allégorie,allégorie,,,,,
70813,histoire,histoire,,,,,
70829,style,style,,,,,
70833,anthropologie,anthropologie,,,,,
70846,critique,critique,,,,,
70895,commentaires,commentaires,,,,,
70911,à faire,à faire,,,,,
70915,cote-bnf,cote-bnf,,,,,
70919,podcast,podcast,,,,,
70923,flux,flux,,,,,
70948,communication,communication,,,,,
70964,mathématisation,mathématisation,,,,,
70977,droit,droit,,,,,
70984,expérimentation,expérimentation,,,,,
70997,anti-culture,anti-culture,,,,,
71001,quantitative,quantitative,,,,,
71005,machine,machine,,,,,
71030,abstrait,abstrait,,,,,
71052,dieu,dieu,,,,,
71056,méréologie,méréologie,,,,,
71060,Espace et temps,Espace et temps,,,106876,,remplace
71064,lien,lien,,,,,
71071,pharmakon,pharmakon,,,,,
71084,Document,Document,,,,,
71124,esprit,esprit,,,,,
71137,miroir,miroir,,,,,
71171,classification,classification,,,,,
71202,réflexonomie,réflexonomie,,,,,
71206,jardin,jardin,,,,,
71321,christian_michel,christian_michel,,Christian Michel,,,
71325,Personal Learning Environment Conference 2011,Personal Learning Environment Conference 2011,,,,,
71332,numérique,numérique,,,,,
71381,bibliothèque,bibliothèque,,,,,
