o:id,dcterms:title,jdc:hasRencontre,jdc:complexity,jdc:valeurUtilite
61019,"Yolla. Polity",,101,
61020,"Gérard. Henneron",,101,
61021,"Rosalba. Palermiti",,101,
61022,"Gilles Deleuze",,1261,70
61023,"Michèle Hudon",,187,
61024,"Alain Lecomte",,101,
61025,"Laurent Léveillé",,101,
61026,"Louis Couturat",,117,
61027,"Léopold Leau",,117,
61028,"Jaap Maat",,97,
61029,"Šākir Laʿībī",,127,
61031,"Célestin Deliège",,105,
61033,"Jean-Pierre Cahier",,375,20
61034,"Michel Lagarde",,105,
61035,"Jean Pépin",,115,
61037,"Hélène Trocmé-Fabre",,93,
61038,"Yves Citton",20,1823,60
61039,"Frédéric Lordon",,195,30
61040,"Ontology Matching",,95,
61041,"Serge Mauger",,107,
61042,"Sauvanet P.",,11,
61043,"Robert Blanché",,85,
61044,"Pierre. Sauvanet",,97,
61045,"Robert Pogue. Harrison",,97,
61047,"John. Cage",,"19 | 93",
61048,"Bernard Stiegler",,811,60
61049,"Gilles Châtelet",,23,10
61050,"Pascal. Moliner",,97,
61051,"Daniel Parrochia",,311,
61052,"Antonio R. Damasio",,109,10
61053,"Alain Prochiantz",,105,
61054,"Daniel Dubois",,105,
61055,"Paul Valéry",,101,60
61056,"Gregory Bateson",,413,30
61057,"Michel Bourdeau",,97,
61058,"Roy Thomas Fielding",,75,
61059,"Pierre Teilhard de Chardin",,195,30
61060,"Fernande Tardivel",,101,
61061,"Ruskey, Frank",,11,
61062,"Weston, Mark",,11,
61063,"S. Chow",,113,
61064,"F. Ruskey",,113,
61065,"B. Rieder",30,331,30
61066,"P. Lévy",,"19 | 195",
61067,"B. B Bederson",,101,
61068,"J. Grosjean",,101,
61069,"J. Meyer",,101,
61070,"D. Memmi",,93,
61071,"Frédéric Amblard",,333,
61072,"Denis Phan",,101,
61073,"Noëlle. Batt",,211,30
61074,"Guy Hocquenghem",,109,
61075,"René Schérer",,109,
61076,"Peter Wildbur",,109,
61077,"Michael Burke",,109,
61078,"Robert Klanten",,105,
61079,"Philippe Descola",10,531,60
61080,Collectif,,2271,
61081,"Jean Sallantin",,211,20
61082,"Jean-Claude Beaune",,101,
61083,"Gérard Chazal",,101,
61086,"Friedrich Nietzsche",,101,30
61087,"André Leroi-Gourhan",,109,30
61088,"Mioara Mugur-Schächter",20,199,40
61089,"Francis Jutand",,105,
61091,"Kostas Terzidis",,97,
61092,"Andrew Glassner",,105,
61093,"Etienne Guyon",,117,
61094,"Alice Pedregosa",,117,
61095,"Béatrice Salviat",,117,
61096,"Fred Turner",,113,
61097,"Thomas Berns",,245,50
