o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set/o:id,o:item_set/dcterms:title,o:media/o:id,o:media/file,dcterms:title,dcterms:creator,dcterms:description,dcterms:publisher,dcterms:contributor,dcterms:date,dcterms:type,dcterms:identifier,dcterms:source,dcterms:language,dcterms:rights,dcterms:abstract,dcterms:created,dcterms:extent,dcterms:isPartOf,dcterms:isReferencedBy,dcterms:dateSubmitted,dcterms:educationLevel,bibo:contributorList,bibo:director,bibo:editor,bibo:owner,bibo:performer,bibo:presentedAt,bibo:translator,bibo:content,bibo:doi,bibo:edition,bibo:isbn,bibo:issn,bibo:issue,bibo:lccn,bibo:numPages,bibo:number,bibo:pages,bibo:section,bibo:shortTitle,bibo:uri,bibo:volume,foaf:firstName,foaf:lastName,foaf:givenName,foaf:homepage,foaf:account,foaf:accountServiceHomepage,foaf:accountName,skos:semanticRelation,skos:broader,skos:closeMatch,skos:prefLabel,skos:altLabel,schema:url,schema:participant,schema:identifier,schema:sameAs,schema:provider,schema:educationalLevel,schema:address,schema:color,schema:contentSize,schema:endDate,schema:orderNumber,schema:programmingLanguage,schema:query,schema:relatedLink,schema:serverStatus,schema:serviceUrl,schema:size,schema:startDate,schema:upvoteCount,schema:worksFor,schema:duration,cito:isCompiledBy,ma:hasContributedTo,ma:isChapterOf,jdc:x,jdc:y,jdc:hasActant,jdc:hasConcept,jdc:hasCrible,jdc:hasCribleCarto,jdc:complexity,jdc:hexaQ,jdc:hexaR,jdc:hexaS,jdc:hasRencontre,jdc:valeurUtilite,fup8:hasEC,fup8:hasParcours,fup8:hasUniversity,fup8:hasDepartement,fup8:hasUFR,fup8:hasMention
299672,http://localhost/samszo/omk/s/cartoaffect/item/299672,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"Gestion solutions de logistique",,"Conception et réalisation d’un outil pour le partage des solutions de logistique.",,,,,,,,,,,,299335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-09-03,1,,,https://www.ania.net/author/anea,,,,2009-07-06,,299579,,,,,,,,,,,"79 | 75 | 108 | 63",,,,,,,,,,,
299673,http://localhost/samszo/omk/s/cartoaffect/item/299673,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,OnadaBase,,"Conception d’un outil pour le diagnostic de l’accessibilité des bâtiments par des personnes handicapées",,,,,,,,,,,,299335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-07-04,2,,,,,,,2007-12-10,,,,,,,,,,,,,"33 | 29 | 70 | 25",,,,,,,,,,,
299674,http://localhost/samszo/omk/s/cartoaffect/item/299674,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"Visites Aquitaine",,"Conception et réalisation d’un système d’information pour l’édition et la présentation du patrimoine de la région Aquitaine",,,,,,,,,,,,299335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-07-12,3,,,,,,,2006-09-08,,,,,,,,,,,,,"33 | 29 | 70 | 25",,,,,,,,,,,
299675,http://localhost/samszo/omk/s/cartoaffect/item/299675,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"Automatisation des publications",,"Chef de projet  conception d’un outil pour la publication semi-automatique de contenus semi structurés",,,,,,,,,,,,299335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-04-30,4,,,,,,,2008-01-23,,299580,,,,,,,,,,,"76 | 72 | 105 | 60",,,,,,,,,,,
299676,http://localhost/samszo/omk/s/cartoaffect/item/299676,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"Outil de gestion des solidarités",,"Développement avec IEML d’un outil collaboratif de gestion des solidarités en partenariat avec la 10e famille",,,,,,,,,,,,299335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-07-31,5,,,,,,,2007-07-01,,299581,,,,,,,,,,,"74 | 70 | 103 | 58",,,,,,,,,,,
299677,http://localhost/samszo/omk/s/cartoaffect/item/299677,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"Life Explorer",,"Modélisation système d’information pour la gestion 3D temps réel d’une bactérie pour valider les théories sur l'encombrement interne",,,,,,,,,,,,299335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-09-15,6,,,http://www.lifeexplorer.eu,,,,2007-06-02,,,,,,,,,,,,,"38 | 34 | 75 | 30",,,,,,,,,,,
299678,http://localhost/samszo/omk/s/cartoaffect/item/299678,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"Tournées de marchandising",,"Conception et réalisation d’une application Web pour l’évaluation marketing des tournées de marchandising",,,,,,,,,,,,299335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-15,7,,,,,,,2006-01-06,,299582,,,,,,,,,,,"66 | 62 | 95 | 50",,,,,,,,,,,
299679,http://localhost/samszo/omk/s/cartoaffect/item/299679,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,MUNDIGO,,"Cofondateur d’une structure de production et distribution de contenus culturels favorisant la découverte et l’échange entre les cultures.",,,,,,,,,,,,299335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-09-04,8,,,,,,,2005-06-10,,299583,,,,,,,,,,,"66 | 62 | 95 | 50",,,,,,,,,,,
299680,http://localhost/samszo/omk/s/cartoaffect/item/299680,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"ANPE – Maintenance évolutive Intranet",,"Maintenance et évolution de l’Intranet pour la gestion de l’annuaire.
Modélisation d’objets métiers pour les listes de diffusion et les droits applicatifs
Développement des contrôles spécifiques
Tests, intégration
Technologie
Windows 2003, SQL Server 2005, Visual Studio 2005
Environnement de développement : C# .Net 2.0, ASP .NET 2.0, Transact-SQL",,,,,,,,,,,,299336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-06-15,1,,,,,,,2005-11-06,,"299576 | 299585",,,,,,,,,,,"107 | 103 | 126 | 81",,,,,,,,,,,
299681,http://localhost/samszo/omk/s/cartoaffect/item/299681,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"Cegetel - Tierce Maintenance Applicative",,"Tierce Maintenance Applicative sur 4 applications :
CALIF et ANGELIC : cf. ci-dessous 12/02 à 12/03
HDCAP : cf. ci-dessous 01/04 à 08/04
AGECA : Outils de gestion des Conduits ADSL pour les domaines de planification, définition, commande, lancement de la réalisation, suivi de la capacité.
Modélisation d’objets métiers à partir des spécifications techniques du réseau (SPV)
Présentation et mise à jour des objets via le MS PropertyGrid
Gestion automatique de l’envoie et de la réception des commandes par mail
Fonctions d’édition et de reporting
Technologie
Windows NT, Oracle 9
Environnement de développement : C# .Net 1.1, PL/SQL, SVG, XML, XSLT, JavaScript, Source Safe",,,,,,,,,,,,299336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-10-11,2,,,,,,,2004-09-03,,"299578 | 299585",,,,,,,,,,,"99 | 95 | 118 | 73",,,,,,,,,,,
